run_id,epoch,train_loss,val_loss
cnn3_tfidf,1,0.008667503255126668,0.00580381565575024
cnn3_tfidf,2,0.0049771303718651105,0.004576473367602313
cnn3_tfidf,3,0.003993244821035601,0.0037678544455608033
cnn3_tfidf,4,0.003312567516847614,0.0031195920369740107
cnn3_tfidf,5,0.0027779770406871187,0.0026138457257173136
cnn3_tfidf,6,0.0023285341625845376,0.002264275970716497
cnn3_tfidf,7,0.0019610161522418826,0.0018367914154509457
cnn3_tfidf,8,0.001642307628378104,0.0015376394011696426
cnn3_tfidf,9,0.0013712524997362091,0.0012996882521600494
cnn3_tfidf,10,0.0011465991116134386,0.0010766742579256514
