run_id,epoch,train_loss,val_loss
cnn3_sbert,1,0.00013139101074352414,1.8982854752282136e-05
cnn3_sbert,2,1.3423421861366537e-05,1.0604811092401976e-05
cnn3_sbert,3,8.837283334705954e-06,7.739575560839437e-06
cnn3_sbert,4,6.848027975356327e-06,6.2183830328379755e-06
cnn3_sbert,5,5.6571891538261686e-06,5.278439752174034e-06
cnn3_sbert,6,4.8591605993798205e-06,4.585672149741991e-06
cnn3_sbert,7,4.262354330028947e-06,4.182269129180725e-06
cnn3_sbert,8,3.7879527306678146e-06,3.6477105361332577e-06
cnn3_sbert,9,3.402790541386969e-06,3.4134623006087135e-06
cnn3_sbert,10,3.0935651306066046e-06,3.0570765648353905e-06
