run_id,epoch,train_loss,val_loss
resnet18_sbert,1,0.01993203191202651,0.00047860473032311284
resnet18_sbert,2,0.00027586625873960205,0.00019788771113929667
resnet18_sbert,3,0.00014017453940015192,0.00011404280982576948
resnet18_sbert,4,9.046016914488566e-05,7.872881929738935e-05
resnet18_sbert,5,6.503486264562499e-05,5.8550547664328174e-05
resnet18_sbert,6,5.0702004221745536e-05,4.705816203077189e-05
resnet18_sbert,7,4.155349214695237e-05,3.840944826241738e-05
resnet18_sbert,8,3.5020066341138055e-05,3.323959350285382e-05
resnet18_sbert,9,2.9745910852589046e-05,2.817226371564327e-05
resnet18_sbert,10,2.630296554453704e-05,2.5272081541796056e-05
