run_id,epoch,train_loss,val_loss
resnet18_glove,1,0.027156625227717637,0.0013774083847597864
resnet18_glove,2,0.001044739326332339,0.0008871254352711056
resnet18_glove,3,0.0007259117002866296,0.0006323724581431526
resnet18_glove,4,0.0005322143700485331,0.00047860501782026697
resnet18_glove,5,0.00040344776409487036,0.0003620486122426779
resnet18_glove,6,0.0003108861368129633,0.0002752900335622576
resnet18_glove,7,0.0002466949310693956,0.00022480429506271073
resnet18_glove,8,0.00020164868854177388,0.0001798460795411295
resnet18_glove,9,0.0001637425430879673,0.00014620934171069187
resnet18_glove,10,0.00013850075895142656,0.00011935453000345654
