epoch,train_loss,val_loss
1,0.3005501374838844,0.12579050194472075
2,0.1557535221652379,0.10278925905004144
3,0.12907551885360763,0.09777929773554206
4,0.11548538594728425,0.09500550990924239
5,0.108225987898925,0.0938871530815959
6,0.10372438193077133,0.09332970669493079
7,0.10115906306438976,0.09286041744053364
8,0.09922015714266944,0.0923451455309987
9,0.09808800818901213,0.09196929167956114
10,0.09706255947313612,0.09147313237190247
11,0.0959569639748051,0.0910614924505353
12,0.09498681062980303,0.09027635352686048
13,0.0946404669019911,0.08993732929229736
14,0.09412916383099934,0.08962987503036857
15,0.09322841045638872,0.0890633873641491
16,0.09260605518070478,0.08865036442875862
17,0.09183263500768041,0.08822298003360629
18,0.09140699687931272,0.0877963718958199
19,0.09074173947530133,0.08734894450753927
20,0.09025958890006655,0.08693364588543773
21,0.08984868009648626,0.08614876726642251
22,0.08912073921353098,0.08571833511814475
23,0.08855611718599758,0.08517290325835347
24,0.08741218939660088,0.08440992049872875
25,0.08685026542534904,0.08386036800220609
26,0.08610061774887735,0.08269577147439122
27,0.08544507309321374,0.08157272357493639
28,0.0845274068415165,0.08085697330534458
29,0.08350297158199643,0.0799886635504663
30,0.08294585985796792,0.07946673361584544
