model_label,embedding_folder,raw_text_dim,shared_dim,best_epoch,test_mse_loss,test_mean_cosine,test_top1,test_top5,test_mean_rank,test_median_rank,test_mrr
ResNet18,TFIDF,16,256,10,0.0016674524681134,0.9780280590057372,0.1534090909090909,0.3560606060606061,33.15151515151515,11.0,0.2591124173316789
CNN-3layer,TFIDF,16,256,10,0.0010446404163358,0.9830139875411988,0.2670454545454545,0.5776515151515151,12.642045454545457,4.0,0.4176423145681093
ResNet18,glove,100,256,10,0.0001132841987948,0.999126434326172,0.3314393939393939,0.7462121212121212,7.609848484848484,2.0,0.5080536847125158
CNN-3layer,glove,100,256,10,4.577238999472959e-05,0.999465823173523,0.4090909090909091,0.8958333333333334,3.801136363636364,2.0,0.6069017680151338
ResNet18,SBERT,384,256,10,2.414139513954676e-05,0.9926533699035645,0.0738636363636363,0.2026515151515151,75.32007575757575,31.5,0.1459872583157012
CNN-3layer,SBERT,384,256,10,2.9383214206807846e-06,0.9981199502944946,0.1515151515151515,0.3409090909090909,49.47159090909091,13.0,0.2550562217491083
