run_id,cnn,embedding,n_moves,count,top1,top5,mean_rank,median_rank,mrr,mean_cosine
resnet18_tfidf,resnet18,tfidf,1,1,0.0,0.0,9.0,9.0,0.1111111111111111,0.942495584487915
resnet18_tfidf,resnet18,tfidf,2,7,0.14285714285714285,0.2857142857142857,10.857142857142858,13.0,0.23182234432234433,0.9605445861816406
resnet18_tfidf,resnet18,tfidf,3,26,0.23076923076923078,0.5769230769230769,19.46153846153846,4.5,0.3719027102562806,0.9709790349006653
resnet18_tfidf,resnet18,tfidf,4,69,0.2028985507246377,0.37681159420289856,26.782608695652176,10.0,0.29269108395323506,0.974532425403595
resnet18_tfidf,resnet18,tfidf,5,114,0.16666666666666666,0.37719298245614036,28.05263157894737,9.0,0.280468769486421,0.977634847164154
resnet18_tfidf,resnet18,tfidf,6,161,0.16149068322981366,0.35403726708074534,36.77018633540373,12.0,0.26653855299796414,0.9792677760124207
resnet18_tfidf,resnet18,tfidf,7,116,0.10344827586206896,0.3275862068965517,40.63793103448276,15.0,0.2124878919617093,0.9807626008987427
resnet18_tfidf,resnet18,tfidf,8,28,0.07142857142857142,0.21428571428571427,39.535714285714285,22.0,0.1559141322852522,0.9808806777000427
resnet18_tfidf,resnet18,tfidf,9,6,0.16666666666666666,0.16666666666666666,21.0,19.0,0.21866594077547422,0.9831175804138184
