run_id,epoch,train_loss,val_loss
resnet18_tfidf,1,0.031852250414528174,0.006181200291649811
resnet18_tfidf,2,0.005487457522293851,0.005228276924007066
resnet18_tfidf,3,0.004639478125703363,0.004478914045264852
resnet18_tfidf,4,0.003960651325830839,0.0038051054363241665
resnet18_tfidf,5,0.0034450119748503888,0.0034045220216375
resnet18_tfidf,6,0.0029780314718776363,0.0029010147745136754
resnet18_tfidf,7,0.0025792121337030707,0.0025521243485080313
resnet18_tfidf,8,0.002231569467046136,0.0022145442048463076
resnet18_tfidf,9,0.0019494275454473753,0.0019526319319786
resnet18_tfidf,10,0.001678554632138651,0.0017403191041392575
