rank,run_id,embedding,dim,loss_fn,best_epoch,total_epochs,test_top1,test_top5,test_mrr,test_mean_rank,test_median_rank,test_mean_cosine,colour_size_correct,mrr_norm,median_rank_norm,composite_score,collapsed,description
1,E2e,tinybert_mean,312,MSE,27,30,0.0059940059940059,0.0289710289710289,0.0275074979469932,641.8211788211788,169.0,0.9659203376088824,1.0,1.0,0.8311688311688312,0.9409090909090909,False,"TinyBERT mean-pool (312-dim), MSE"
2,E2b,sbert_finetuned,384,Cosine,30,30,0.0029970029970029,0.0209790209790209,0.0176141748174676,442.68531468531467,351.0,0.870641789355359,1.0,0.6403408572968002,0.6493506493506493,0.7334090701914474,False,"SBERT fine-tuned on Type-B corpus (384-dim), CosineLoss"
3,E2g,glove,300,MSE,26,30,0.0029970029970029,0.0139860139860139,0.013510886616804,601.9020979020979,481.0,0.9741444119683036,1.0,0.49117104881146967,0.5194805194805194,0.6282866013427697,False,"GloVe word-avg (300-dim), MSE"
4,E2a,sbert,384,Cosine,30,30,0.0019980019980019,0.0059940059940059,0.00916684620886,539.7692307692307,510.0,0.3752031504929244,1.0,0.33324900092783655,0.49050949050949055,0.5549779220494563,False,"SBERT all-MiniLM-L6-v2 (384-dim), frozen, CosineLoss"
5,B0,tfidf_lsa,100,MSE,13,20,0.0039960039960039,0.0059940059940059,0.0085404803691086,627.7912087912088,639.0,0.7961922995932215,1.0,0.31047826979996723,0.3616383616383616,0.5007647344934134,False,"TF-IDF + LSA (100-dim), MSE — statistical baseline"
6,E2h,word2vec_pretrained,300,MSE,9,16,0.0,0.0039960039960039,0.0045352514221245,643.4985014985015,629.0,0.9977028560447884,1.0,0.1648732804002714,0.3716283716283716,0.44601924223003864,False,"Word2Vec Google News pretrained (300-dim), MSE"
7,E2f,tinybert_pooler,312,MSE,6,13,0.0,0.0009990009990009,0.0032530488317105,1678.3786213786211,1302.0,0.993312006230121,0.6873126873126874,0.1182604407706985,-0.3006993006993006,0.11388759289169603,True,"TinyBERT [CLS] pooler (312-dim), MSE"
8,E2i,word2vec_skipgram,100,MSE,11,18,0.0019980019980019,0.0019980019980019,0.0038931443731378,2443.892107892108,1730.0,0.999696861316155,0.5314685314685315,0.14153029768973782,-0.7282717282717284,-0.06541585295207691,True,"Word2Vec skip-gram in-domain (100-dim), MSE"
9,E2k,tfidf_w2v,100,MSE,24,30,0.0,0.0009990009990009,0.0021931201831406,2959.4355644355646,2424.0,0.9998865514606624,0.3816183816183816,0.07972808676989564,-1.4215784215784217,-0.37025661743989396,True,"TF-IDF weighted Word2Vec (100-dim), MSE"
