epoch,train_loss,val_loss,lr,epoch_time_s
1,0.0025391039348000456,0.0014338868568302132,0.0001,19.36
2,0.001442011379237686,0.0009797882521525025,0.0001,14.0
3,0.0011076321719133014,0.0008362342305190396,0.0001,14.52
4,0.0009682917757706332,0.0007934518616821151,0.0001,14.55
5,0.0009251064357591705,0.0007662842290301342,0.0001,13.92
6,0.000885080257412194,0.0007577526375825983,0.0001,15.05
7,0.0008494746834335346,0.0007553220129921101,0.0001,14.29
8,0.0008254130130692844,0.0007403126764984336,0.0001,14.15
9,0.0008200657201029123,0.0007416365297103766,0.0001,14.05
10,0.0008040380119974356,0.0007315787916013505,0.0001,14.32
11,0.0007854128660198064,0.0007231884555949364,0.0001,14.01
12,0.0007800772164334794,0.000727050664863782,0.0001,14.24
13,0.0007784351857105595,0.0007212867349153385,0.0001,13.82
14,0.0007754491243903186,0.0007157585641834885,0.0001,13.96
15,0.0007630523265568569,0.000728380742657464,0.0001,13.51
16,0.0007612020131163594,0.00072853174424381,0.0001,13.82
17,0.0007585058675243682,0.0007116421256796457,0.0001,13.96
18,0.0007547353276990295,0.0007130510748538654,0.0001,13.85
19,0.0007522874978363573,0.0007124578514776658,0.0001,14.06
20,0.0007482596912369546,0.0007147210999391973,0.0001,13.93
21,0.0007477571456951813,0.0007106847187969834,0.0001,14.37
22,0.0007452525721404642,0.0007168706506490707,0.0001,13.5
23,0.000747258688548639,0.0007103561074472964,0.0001,13.83
24,0.0007439471281407076,0.0007125322845240589,0.0001,13.85
